"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","20/436","132/7024",0.151515151515152,2.44092299138171,4.29915284744781,0.000165149558422451,0.00086341348087527,0.000637419348297179,"12562/21937/18791/13039/20971/16177/20339/21926/19697/22329/15894/19354/20293/63873/15368/16176/16399/237038/16175/13614",20
"Human Diseases","Immune disease","mmu05310","Asthma","5/436","10/7024",0.5,8.05504587155963,5.74307839619829,0.000174908458152377,0.000898667595334627,0.000663445875750396,"21926/14127/20292/16153/21939",5
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway","13/436","67/7024",0.194029850746269,3.12583869642613,4.49763793674299,0.000196933458903652,0.000994680860225224,0.000734328151844125,"12575/16009/58801/14102/66940/21933/17873/21825/12122/23882/18787/12370/29870",13
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer","15/436","90/7024",0.166666666666667,2.68501529051988,4.13867159015501,0.000378199650457802,0.00187839159727375,0.00138673205167861,"12826/12827/12575/17869/16776/11796/18035/19697/16782/19225/16398/17873/23882/16399/18126",15
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway","16/436","104/7024",0.153846153846154,2.47847565278758,3.90755935038254,0.000616278283386433,0.0030106709581829,0.00222264298926255,"12575/16194/20848/71775/19697/13058/230163/16193/21857/15368/18126/13645/18787/212032/13614/230899",16
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","21/436","157/7024",0.133757961783439,2.15485303570385,3.76461706355543,0.000654539343310142,0.00314601168236165,0.00232255896013276,"15162/20847/20848/55985/14191/22324/20306/18035/19697/14825/19354/20293/20846/20311/20308/20295/20292/20302/12768/16428/20303",21
"Human Diseases","Cancer: overview","mmu05200","Pathways in cancer","47/436","475/7024",0.0989473684210526,1.59405118300338,3.44914107698587,0.000823413056888982,0.0038948744595701,0.00287541067485041,"12826/16190/12827/235320/12983/12575/16194/16164/58801/17869/20847/16776/11796/14102/18034/20848/12984/14366/18712/12394/19730/18654/18035/20375/19697/21813/20850/19354/16193/16782/20846/14173/19225/16398/17873/16169/15368/12122/18095/23882/16399/18126/13645/12370/11799/13614/64654",47
"Organismal Systems","Immune system","mmu04672","Intestinal immune network for IgA production","7/436","27/7024",0.259259259259259,4.17669045191981,4.25430504151461,0.00101237446354721,0.00471386859589171,0.00348003721844355,"50723/16193/16169/24099/17123/16153/21939",7
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","27/436","233/7024",0.11587982832618,1.86683466551167,3.46158619100482,0.00116775396976991,0.00535370281525282,0.00395239805152893,"11867/21937/12475/12363/24088/22146/17869/11796/80837/67951/21926/17874/74568/18035/19697/19766/16193/21933/66824/69146/216799/117149/16176/56532/20194/17948/12370",27
"Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia","11/436","62/7024",0.17741935483871,2.85824208345664,3.78058415798845,0.00132267072426441,0.00597205872470902,0.00440890241421471,"12475/235320/17869/20848/18712/12394/20375/19697/20850/12045/16409",11
